tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign
HYP,0438 SCH Six6 Cdc14a Gaba_3,CS20230722_SUPT_0438,P0,6,-0.21514386243440115,0.15224782934897943,TRUE
AMY,0203 Lamp5 Lhx6 Gaba_1,CS20230722_SUPT_0203,P15,6,0.21428892878214614,0.08040653312130702,TRUE
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P18,6,0.214047986052141,0.14262722355291266,TRUE
AMY,1160 Astro-NT NN_2,CS20230722_SUPT_1160,P4,6,-0.21351590543895071,0.14154895081945224,TRUE
HYP,0459 ZI Pax6 Gaba_1,CS20230722_SUPT_0459,P8,6,-0.21025704509613813,0.1543263044761026,TRUE
HYP,0466 ZI Pax6 Gaba_8,CS20230722_SUPT_0466,P15,6,-0.20943133488509094,0.11822524630298704,TRUE
HYP,0479 TU-ARH Otp Six6 Gaba_2,CS20230722_SUPT_0479,P13,6,0.20818945424916863,0.08385260326090913,TRUE
AMY,0368 CEA-BST Six3 Cyp26b1 Gaba_2,CS20230722_SUPT_0368,P4,6,-0.2075520528405766,0.1418001798225049,TRUE
AMY,0003 IT EP-CLA Glut_1,CS20230722_SUPT_0003,P11,6,-0.2067389385982615,0.14417550627821624,TRUE
AMY,0287 STR-PAL Chst9 Gaba_3,CS20230722_SUPT_0287,P7,6,0.20637122708793032,0.10091139367092314,TRUE
HYP,0457 AHN Onecut3 Gaba_2,CS20230722_SUPT_0457,P17,6,-0.2056236383563084,0.19264317263414182,TRUE
HYP,1184 MOL NN_4,CS20230722_SUPT_1184,P19,6,0.2052438106254817,0.09537758237982553,TRUE
AMY,0508 MEA-COA-BMA Ccdc42 Glut_4,CS20230722_SUPT_0508,P14,6,-0.20517568525376909,0.1054168764371451,TRUE
HYP,0555 ARH-PVp Tbx3 Glut_2,CS20230722_SUPT_0555,P16,6,0.2047942005329964,0.1000615783791003,TRUE
AMY,0204 Pvalb chandelier Gaba_1,CS20230722_SUPT_0204,P11,6,0.20434358575449382,0.17268347099201822,TRUE
AMY,0505 MEA-COA-BMA Ccdc42 Glut_1,CS20230722_SUPT_0505,P7,6,0.20271786880739892,0.12239867901495857,TRUE
AMY,0358 MEA-BST Lhx6 Nfib Gaba_2,CS20230722_SUPT_0358,P4,6,-0.20098844677971028,0.14758158659850434,TRUE
HYP,0495 ARH-PVp Tbx3 Gaba_3,CS20230722_SUPT_0495,P13,6,0.19950122397068207,0.2606210606845487,TRUE
HYP,0444 PVHd-SBPV Six3 Prox1 Gaba_3,CS20230722_SUPT_0444,P18,6,-0.19934998957668046,0.17555464346219424,TRUE
AMY,1184 MOL NN_4,CS20230722_SUPT_1184,P16,6,-0.19872318556512222,0.06641144594716673,TRUE
HYP,0530 SI-MA-LPO-LHA Skor1 Glut_1,CS20230722_SUPT_0530,P6,6,-0.1966635830436118,0.16718625274746765,TRUE
HYP,0474 PVHd-DMH Lhx6 Gaba_1,CS20230722_SUPT_0474,P16,6,-0.19440477770843112,0.16492632632415255,TRUE
AMY,0203 Lamp5 Lhx6 Gaba_1,CS20230722_SUPT_0203,P1,6,0.19390173517033002,0.13723790212193127,TRUE
HYP,0555 ARH-PVp Tbx3 Glut_2,CS20230722_SUPT_0555,P4,6,-0.1936529399207838,0.20437010250844992,TRUE
AMY,0289 STR-PAL Chst9 Gaba_5,CS20230722_SUPT_0289,P17,6,-0.19319551931949266,0.20088143277130932,TRUE
HYP,0974 PGRN-PARN-MDRN Hoxb5 Glut_2,CS20230722_SUPT_0974,P18,6,-0.19277726335055295,0.11324092498930632,TRUE
HYP,0579 AHN-RCH-LHA Otp Fezf1 Glut_1,CS20230722_SUPT_0579,P2,6,0.1924268828763535,0.21432959439145033,TRUE
AMY,0386 CEA-BST Ebf1 Pdyn Gaba_3,CS20230722_SUPT_0386,P17,6,-0.19180492843583816,0.1353388500454736,TRUE
HYP,0449 AHN-SBPV-PVHd Pdrm12 Gaba_4,CS20230722_SUPT_0449,P3,6,-0.18995649866333164,0.16543817321175885,TRUE
AMY,0041 L2/3 IT PIR-ENTl Glut_3,CS20230722_SUPT_0041,P3,6,0.1896633771533353,0.14988303472539924,TRUE
AMY,0203 Lamp5 Lhx6 Gaba_1,CS20230722_SUPT_0203,P14,6,-0.18877560371360194,0.17218107028752455,TRUE
AMY,0371 CEA-BST Six3 Cyp26b1 Gaba_5,CS20230722_SUPT_0371,P7,6,0.1885630151828975,0.280814191805194,TRUE
HYP,0524 LHA Barhl2 Glut_1,CS20230722_SUPT_0524,P10,6,0.1884009568633771,0.11434570611816845,TRUE
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P4,6,-0.18768111285789152,0.11729109956727353,TRUE
HYP,0457 AHN Onecut3 Gaba_2,CS20230722_SUPT_0457,P6,6,0.18688124275395207,0.10863682585455105,TRUE
HYP,0564 VMH Fezf1 Glut_2,CS20230722_SUPT_0564,P4,6,0.18667122323592597,0.10191306174743936,TRUE
HYP,0530 SI-MA-LPO-LHA Skor1 Glut_1,CS20230722_SUPT_0530,P3,6,-0.1858708458776563,0.1490749295557277,TRUE
AMY,0209 Pvalb Gaba_5,CS20230722_SUPT_0209,P11,6,0.1846913889761021,0.12906881316411087,TRUE
AMY,0368 CEA-BST Six3 Cyp26b1 Gaba_2,CS20230722_SUPT_0368,P9,6,-0.1845363049153223,0.12722293971189952,TRUE
HYP,0438 SCH Six6 Cdc14a Gaba_3,CS20230722_SUPT_0438,P13,6,0.18416388529194988,0.1344170701330824,TRUE
HYP,0568 VMH Nr5a1 Glut_3,CS20230722_SUPT_0568,P7,6,0.18367577378384525,0.07820770640008926,TRUE
HYP,1194 Microglia NN_1,CS20230722_SUPT_1194,P4,6,0.18092009244412427,0.13211870072343082,TRUE
