tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign,top_term,top_category,top_pvalue,n_terms_p05
HYP,0466 ZI Pax6 Gaba_8,CS20230722_SUPT_0466,P15,6,-0.20943133488509094,0.11822524630298704,TRUE,nucleoplasm,GOTERM_CC_DIRECT,0.03454909096584344,2
HYP,0479 TU-ARH Otp Six6 Gaba_2,CS20230722_SUPT_0479,P13,6,0.20818945424916863,0.08385260326090913,TRUE,postsynaptic membrane,GOTERM_CC_DIRECT,0.00343604411572531,17
AMY,0368 CEA-BST Six3 Cyp26b1 Gaba_2,CS20230722_SUPT_0368,P4,6,-0.2075520528405766,0.1418001798225049,TRUE,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,0.00404576675715371,10
AMY,0003 IT EP-CLA Glut_1,CS20230722_SUPT_0003,P11,6,-0.2067389385982615,0.14417550627821624,TRUE,mmu04144:Endocytosis,KEGG_PATHWAY,0.00103571993751934,4
AMY,0287 STR-PAL Chst9 Gaba_3,CS20230722_SUPT_0287,P7,6,0.20637122708793032,0.10091139367092314,TRUE,ATP binding,GOTERM_MF_DIRECT,0.0455121965261116,1
HYP,0457 AHN Onecut3 Gaba_2,CS20230722_SUPT_0457,P17,6,-0.2056236383563084,0.19264317263414182,TRUE,cytoplasm,GOTERM_CC_DIRECT,0.05595412334278629,0
HYP,1184 MOL NN_4,CS20230722_SUPT_1184,P19,6,0.2052438106254817,0.09537758237982553,TRUE,calcium ion binding,GOTERM_MF_DIRECT,0.00135732703400033,5
AMY,0508 MEA-COA-BMA Ccdc42 Glut_4,CS20230722_SUPT_0508,P14,6,-0.20517568525376909,0.1054168764371451,TRUE,Transmembrane helix,UP_KW_DOMAIN,0.1388053486747962,0
HYP,0555 ARH-PVp Tbx3 Glut_2,CS20230722_SUPT_0555,P16,6,0.2047942005329964,0.1000615783791003,TRUE,biological_process,GOTERM_BP_DIRECT,0.13464075736363862,0
AMY,0204 Pvalb chandelier Gaba_1,CS20230722_SUPT_0204,P11,6,0.20434358575449382,0.17268347099201822,TRUE,DOMAIN:C2H2-type,UP_SEQ_FEATURE,0.00108293069685749,17
